round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
1,219,144,0,219,106,B,fail
2,211,135,27,164,117,B,fail
3,224,143,27,177,122,B,fail
4,215,137,26,163,108,C,fail
5,203,129,26,53,53,B,fail
6,196,129,0,113,56,B,fail
7,196,129,0,51,51,A,fail
8,204,134,0,110,110,D,fail
9,218,141,25,166,113,D,fail
10,207,136,0,105,105,C,fail
11,203,129,27,55,55,A,fail
12,205,131,28,113,58,A,fail
13,207,132,28,60,60,A,fail
14,213,136,29,118,118,A,fail
15,208,131,31,121,65,A,fail
16,215,135,31,124,67,A,fail
17,219,140,30,126,126,A,fail
18,225,132,53,175,120,B,fail
19,234,138,53,182,182,B,success
20,232,122,81,188,188,B,success
21,219,140,29,122,65,A,fail
22,219,137,31,123,68,A,fail
23,221,139,31,128,128,A,fail
24,235,148,31,188,132,A,fail
25,232,134,58,193,193,A,success
26,235,136,58,198,198,A,success
27,234,135,56,132,132,A,fail
28,221,125,61,135,135,A,success
29,233,137,54,184,184,B,success
30,240,129,78,189,189,B,success
31,245,132,78,193,193,B,success
32,244,143,54,244,189,B,success
33,241,139,56,192,136,B,fail
34,252,148,55,252,199,B,success
35,229,144,33,133,133,B,fail
36,228,134,53,175,175,B,success
37,206,135,0,109,56,A,fail
38,224,145,25,224,116,A,fail
39,224,132,54,179,179,C,success
40,240,129,77,240,240,A,success
41,249,136,75,249,249,A,success
42,256,128,100,256,256,A,success
43,265,132,100,265,265,A,success
44,260,130,100,260,260,C,success
45,258,139,76,258,258,C,success
46,241,139,56,137,137,C,fail
47,251,145,56,251,197,C,success
48,258,139,77,258,258,C,success
49,268,144,77,268,268,C,success
50,254,137,79,254,202,D,success
51,260,140,80,260,209,D,success
52,257,149,57,257,202,D,success
53,255,150,55,255,255,C,success
54,253,134,81,206,206,C,success
55,262,141,80,210,210,C,success
56,234,135,58,190,137,D,success
57,230,144,32,185,132,D,fail
58,246,145,55,246,137,D,fail
59,237,139,54,237,130,D,fail
60,246,145,54,246,194,D,success
61,243,155,29,243,243,D,success
62,251,148,54,251,251,D,success
63,236,136,56,133,133,D,fail
64,245,144,53,245,190,D,success
65,235,152,25,235,235,D,success
66,232,148,28,182,182,D,success
67,236,127,79,187,187,D,success
68,221,128,59,132,132,D,success
69,216,138,30,126,126,B,fail
70,211,122,58,124,124,B,success
71,197,124,34,67,67,B,fail
72,182,112,37,68,68,B,fail
73,204,134,0,60,60,B,fail
74,211,139,0,113,61,B,fail
75,206,131,30,117,63,B,fail
76,210,132,31,66,66,B,fail
77,222,142,30,68,68,B,fail
78,230,147,30,123,69,B,fail
79,239,152,29,239,127,B,fail
80,231,145,32,132,132,B,fail
81,242,140,56,190,137,B,fail
82,251,148,55,251,140,B,fail
83,247,145,53,247,247,B,success
84,247,133,77,247,191,B,success
85,245,132,80,198,198,B,success
86,259,139,78,259,204,B,success
87,265,143,78,265,265,B,success
88,261,130,100,261,261,B,success
89,259,139,79,259,207,B,success
90,258,139,78,258,258,B,success
91,257,149,56,257,257,B,success
92,257,138,77,257,257,B,success
93,267,144,77,267,267,B,success
94,257,128,100,257,257,B,success
95,255,137,78,255,255,B,success
96,256,138,80,256,206,B,success
97,261,130,100,261,261,A,success
98,255,127,100,255,255,C,success
99,252,136,79,252,252,C,success
100,245,132,76,245,245,B,success
101,252,126,100,252,252,B,success
102,255,127,100,255,255,B,success
103,263,131,100,263,263,B,success
104,250,135,78,250,250,B,success
105,259,129,100,259,259,B,success
106,265,132,100,265,265,B,success
107,273,136,100,273,273,B,success
108,272,136,100,272,272,B,success
109,266,143,78,266,266,B,success
110,251,148,55,251,197,C,success
111,232,136,53,232,181,C,success
112,231,147,28,231,178,C,success
113,241,142,53,241,241,C,success
114,239,138,56,193,193,C,success
115,230,133,56,130,130,B,fail
116,201,128,30,114,61,B,fail
117,230,135,53,179,179,B,success
118,215,124,57,124,124,B,success
119,226,131,56,184,184,B,success
120,221,145,0,168,168,B,success
121,201,128,28,58,58,C,fail
122,212,135,28,116,116,C,fail
123,215,137,27,118,118,A,fail
124,225,132,54,123,123,C,fail
125,233,137,54,126,126,A,fail
126,242,142,54,190,132,A,fail
127,250,147,54,250,196,C,success
128,244,143,55,192,192,C,success
129,233,135,60,142,142,C,success
130,235,136,56,133,133,C,fail
131,220,127,56,125,125,C,fail
132,236,139,54,184,184,C,success
133,234,138,52,179,179,A,success
134,218,143,0,115,58,C,fail
135,206,131,29,60,60,C,fail
136,209,137,0,113,59,C,fail
137,207,136,0,57,57,D,fail
138,224,143,26,117,60,D,fail
139,234,149,26,234,178,D,success
140,242,145,50,242,242,D,success
141,250,135,76,250,250,D,success
142,260,130,100,260,260,D,success
143,236,139,54,129,129,B,fail
144,233,149,29,233,123,B,fail
145,212,133,33,70,70,B,fail
146,231,133,57,187,132,B,fail
147,227,143,33,183,127,B,fail
148,239,150,32,190,135,B,fail
149,225,130,57,129,129,B,fail
150,224,141,31,179,123,B,fail
151,241,142,55,191,191,B,success
152,233,137,53,182,125,B,fail
153,241,142,52,241,187,B,success
154,238,128,80,192,192,B,success
155,236,125,82,195,195,A,success
156,241,142,53,190,190,D,success
157,237,139,55,237,131,D,fail
158,245,144,55,245,191,D,success
159,255,137,78,255,199,D,success
160,256,138,76,256,256,D,success
161,264,132,100,264,264,D,success
162,255,137,79,202,202,D,success
163,256,138,78,256,201,A,success
164,257,138,77,257,257,B,success
165,267,133,100,267,267,B,success
166,265,132,100,265,265,B,success
167,274,137,100,274,274,B,success
168,250,135,80,250,200,B,success
169,235,124,82,195,195,C,success
170,239,138,56,190,190,C,success
171,236,139,54,236,129,C,fail
172,234,138,52,234,234,C,success
173,213,136,29,63,63,D,fail
174,224,143,29,119,65,D,fail
175,222,142,30,180,124,D,fail
176,210,134,28,118,118,B,fail
177,214,136,28,115,115,D,fail
178,201,128,30,62,62,D,fail
179,200,126,31,117,117,D,fail
180,212,135,30,65,65,D,fail
181,217,138,30,174,67,D,fail
182,231,147,29,179,179,D,success
183,219,144,0,117,117,D,fail
184,233,137,51,233,177,D,success
185,233,137,52,181,181,D,success
186,220,140,29,119,65,D,fail
187,210,121,57,120,120,D,fail
188,211,135,30,123,123,D,fail
189,219,144,0,170,116,A,fail
190,195,124,30,59,59,D,fail
191,200,128,30,117,117,D,fail
192,204,130,30,118,63,D,fail
193,227,145,28,177,121,D,fail
194,235,150,28,183,183,D,success
195,232,148,29,182,182,D,success
196,235,138,55,189,189,D,success
197,247,145,53,247,192,D,success
198,245,132,76,245,245,C,success
199,233,137,55,185,130,B,fail
200,227,131,59,135,135,B,success
