round,validator,crypto,behavior,latency,sensor,effective
1,A,91,0,48,95,57
1,B,100,21,0,88,59
1,C,96,11,15,100,58
1,D,100,6,11,96,57
2,A,92,0,48,96,58
2,B,100,27,1,89,61
2,C,97,17,11,100,60
2,D,100,0,12,97,56
3,A,77,0,46,97,52
3,B,100,33,2,90,63
3,C,82,23,19,100,57
3,D,100,6,7,87,55
4,A,78,6,41,98,53
4,B,100,4,0,91,54
4,C,83,29,14,100,59
4,D,100,12,11,88,58
5,A,79,12,36,99,55
5,B,100,10,0,92,56
5,C,84,0,15,100,50
5,D,100,0,20,89,56
6,A,80,0,34,100,52
6,B,100,16,5,93,59
6,C,85,0,10,100,50
6,D,100,6,20,90,58
7,A,81,6,29,100,53
7,B,100,0,5,83,53
7,C,86,6,1,100,51
7,D,100,0,18,91,56
8,A,82,12,36,100,56
8,B,100,0,2,84,52
8,C,87,12,0,100,53
8,D,100,6,21,81,57
9,A,83,18,41,100,59
9,B,100,6,4,85,55
9,C,88,18,1,100,55
9,D,100,12,24,82,59
10,A,84,0,45,100,55
10,B,100,12,0,86,56
10,C,89,24,8,100,59
10,D,100,0,25,72,54
11,A,85,6,48,100,58
11,B,100,0,1,87,53
11,C,90,0,4,90,50
11,D,100,6,21,73,55
12,A,86,12,49,100,60
12,B,100,6,3,88,55
12,C,91,0,1,91,50
12,D,85,12,26,74,52
13,A,87,18,53,100,63
13,B,100,0,6,89,54
13,C,92,6,1,92,52
13,D,86,18,29,75,55
14,A,88,24,55,100,65
14,B,100,6,11,90,56
14,C,93,0,0,93,51
14,D,87,24,35,76,58
15,A,89,30,50,100,67
15,B,100,12,3,91,57
15,C,94,0,4,94,52
15,D,88,0,30,77,51
16,A,90,36,47,90,67
16,B,100,18,3,92,59
16,C,95,0,1,95,52
16,D,89,6,24,78,52
17,A,91,42,49,91,70
17,B,100,24,7,93,62
17,C,96,6,8,96,55
17,D,90,0,20,79,50
18,A,92,13,52,92,62
18,B,100,30,7,94,64
18,C,97,12,7,97,58
18,D,91,6,18,80,52
19,A,93,19,49,93,64
19,B,100,36,7,95,66
19,C,98,18,10,98,60
19,D,92,12,14,81,54
20,A,94,25,48,94,66
20,B,100,42,9,96,68
20,C,99,24,10,99,63
20,D,77,0,18,82,45
21,A,95,31,40,95,67
21,B,100,13,3,97,58
21,C,100,0,8,100,56
21,D,78,6,13,83,47
22,A,96,37,48,96,71
22,B,100,0,0,98,54
22,C,100,6,8,100,58
22,D,79,12,19,84,50
23,A,97,43,45,97,73
23,B,100,6,0,99,56
23,C,100,12,9,100,59
23,D,80,0,19,85,47
24,A,98,49,44,98,75
24,B,100,12,0,100,58
24,C,100,18,5,100,61
24,D,81,6,19,86,49
25,A,99,55,42,99,77
25,B,100,18,0,100,60
25,C,100,24,4,100,62
25,D,82,0,15,87,48
26,A,84,61,33,89,70
26,B,100,24,4,100,62
26,C,100,30,0,100,64
26,D,83,0,19,88,49
27,A,85,67,26,90,71
27,B,100,30,5,100,64
27,C,100,1,7,100,56
27,D,84,6,16,89,51
28,A,86,73,23,91,73
28,B,100,36,2,100,66
28,C,100,0,10,100,56
28,D,85,0,14,90,49
29,A,87,44,14,92,63
29,B,100,42,0,100,67
29,C,100,6,14,100,58
29,D,86,6,15,91,52
30,A,88,50,11,93,65
30,B,100,48,0,100,69
30,C,100,12,12,100,60
30,D,87,12,7,92,53
31,A,89,56,14,94,68
31,B,100,54,0,100,71
31,C,100,18,7,100,61
31,D,88,18,2,93,54
32,A,90,27,11,95,60
32,B,100,60,2,100,73
32,C,100,24,14,100,64
32,D,89,24,2,94,57
33,A,91,0,16,96,53
33,B,100,66,2,100,75
33,C,100,30,10,100,65
33,D,90,30,0,95,59
34,A,92,6,17,97,55
34,B,100,72,1,100,76
34,C,100,36,9,100,67
34,D,91,36,6,96,62
35,A,93,0,23,98,55
35,B,85,78,5,100,73
35,C,100,7,18,100,59
35,D,92,7,7,97,54
36,A,94,6,15,99,56
36,B,86,49,0,100,64
36,C,100,13,17,100,61
36,D,93,13,5,98,56
37,A,95,12,14,100,58
37,B,87,20,0,100,55
37,C,100,0,18,100,57
37,D,94,0,5,99,53
38,A,96,18,14,100,60
38,B,88,26,0,100,58
38,C,100,6,26,100,60
38,D,95,6,9,100,56
39,A,97,24,12,100,62
39,B,89,32,0,100,60
39,C,100,12,27,100,62
39,D,96,0,12,100,55
40,A,98,30,19,100,66
40,B,90,38,3,90,61
40,C,100,18,28,100,64
40,D,97,6,15,100,57
41,A,99,36,21,100,68
41,B,91,44,0,91,63
41,C,100,24,29,90,65
41,D,98,12,15,100,60
42,A,100,42,16,100,70
42,B,92,50,6,92,66
42,C,100,30,30,91,67
42,D,99,18,17,100,62
43,A,100,48,11,100,71
43,B,93,56,3,93,68
43,C,100,36,35,92,69
43,D,100,24,19,100,65
44,A,100,19,14,100,62
44,B,94,62,4,94,70
44,C,100,42,27,93,70
44,D,100,30,11,100,65
45,A,100,25,11,100,64
45,B,95,33,4,95,62
45,C,100,48,23,94,71
45,D,100,36,7,100,66
46,A,100,0,7,100,56
46,B,96,4,9,96,55
46,C,100,54,21,95,73
46,D,100,42,5,100,68
47,A,100,6,16,100,59
47,B,97,10,7,97,57
47,C,100,60,17,96,74
47,D,100,48,4,90,68
48,A,100,12,24,100,62
48,B,98,16,8,98,59
48,C,100,66,19,97,77
48,D,100,54,8,91,71
49,A,100,18,21,100,63
49,B,99,22,3,99,61
49,C,100,72,26,98,80
49,D,100,60,8,92,73
50,A,85,0,17,100,51
50,B,100,28,3,100,63
50,C,100,43,26,99,71
50,D,100,66,7,93,74
51,A,86,6,18,100,53
51,B,100,34,8,100,66
51,C,100,49,26,100,73
51,D,100,72,6,83,74
52,A,87,12,19,100,56
52,B,100,5,10,100,58
52,C,100,55,26,100,75
52,D,100,78,12,84,77
53,A,88,18,16,100,58
53,B,100,11,13,100,60
53,C,100,61,28,100,77
53,D,100,49,9,85,68
54,A,89,0,9,100,51
54,B,100,17,17,100,62
54,C,100,67,24,100,78
54,D,100,55,15,86,71
55,A,90,6,9,100,54
55,B,100,23,16,100,64
55,C,100,73,17,90,77
55,D,100,61,8,87,72
56,A,91,0,12,100,53
56,B,100,0,10,100,56
56,C,100,44,13,91,68
56,D,100,67,8,88,74
57,A,92,6,16,90,54
57,B,100,0,5,100,55
57,C,100,15,18,92,61
57,D,100,73,6,89,76
58,A,77,12,24,91,51
58,B,100,6,3,100,57
58,C,100,21,18,93,62
58,D,100,79,7,90,78
59,A,78,18,20,92,53
59,B,100,12,0,100,58
59,C,100,27,20,94,65
59,D,100,50,9,91,70
60,A,79,24,20,93,55
60,B,100,18,5,100,61
60,C,100,33,21,95,67
60,D,100,56,14,92,72
61,A,80,30,17,94,57
61,B,100,24,0,100,62
61,C,100,4,14,96,57
61,D,100,62,17,93,75
62,A,81,36,14,95,59
62,B,100,30,1,100,64
62,C,100,10,20,97,60
62,D,100,68,15,83,75
63,A,82,42,10,85,59
63,B,100,1,0,100,55
63,C,100,0,24,98,58
63,D,100,74,8,73,74
64,A,67,48,8,86,55
64,B,100,7,3,100,57
64,C,100,6,22,99,59
64,D,100,80,1,74,75
65,A,68,54,4,87,57
65,B,100,13,8,100,60
65,C,100,12,18,100,61
65,D,100,51,0,75,66
66,A,69,60,5,88,59
66,B,100,19,7,100,61
66,C,100,0,20,100,58
66,D,100,57,4,76,69
67,A,70,31,5,89,51
67,B,100,25,0,100,62
67,C,100,6,20,100,59
67,D,100,63,0,77,70
68,A,71,2,0,90,42
68,B,100,31,4,100,64
68,C,100,0,23,100,58
68,D,100,69,0,78,72
69,A,72,8,2,91,45
69,B,100,37,6,100,67
69,C,100,0,23,100,58
69,D,100,40,0,79,63
70,A,73,0,4,92,43
70,B,100,43,6,90,67
70,C,100,6,17,100,59
70,D,85,11,3,80,49
71,A,74,0,0,93,43
71,B,100,49,3,91,68
71,C,85,0,10,100,50
71,D,86,17,5,81,52
72,A,75,0,0,94,44
72,B,100,55,8,92,71
72,C,86,0,10,100,50
72,D,87,0,9,82,48
73,A,76,6,0,95,46
73,B,100,26,0,93,61
73,C,87,6,12,100,53
73,D,88,6,8,83,50
74,A,77,12,1,85,47
74,B,100,32,0,94,63
74,C,88,12,9,100,55
74,D,89,12,8,84,53
75,A,78,18,0,86,49
75,B,100,38,0,95,65
75,C,89,18,9,100,57
75,D,90,0,7,85,49
76,A,79,24,0,76,50
76,B,100,44,5,96,68
76,C,90,0,9,90,50
76,D,91,6,13,86,53
77,A,80,30,1,77,52
77,B,100,50,1,97,69
77,C,91,6,14,91,53
77,D,92,12,11,87,55
78,A,81,36,8,78,56
78,B,100,56,5,98,72
78,C,92,12,15,92,56
78,D,93,18,6,88,56
79,A,66,42,6,79,51
79,B,100,62,4,99,74
79,C,93,18,12,93,58
79,D,94,24,5,89,58
80,A,67,48,10,80,54
80,B,100,68,0,100,75
80,C,94,24,11,94,60
80,D,95,0,5,90,52
81,A,68,54,6,81,56
81,B,100,74,9,100,78
81,C,95,30,10,95,62
81,D,96,6,13,91,55
82,A,69,60,4,82,58
82,B,100,80,13,100,80
82,C,96,36,4,96,64
82,D,97,12,10,92,57
83,A,70,66,0,83,60
83,B,100,86,18,100,83
83,C,97,42,7,97,67
83,D,98,18,14,93,60
84,A,71,72,0,84,62
84,B,100,92,21,100,85
84,C,98,13,5,98,58
84,D,99,24,17,94,63
85,A,72,78,0,85,64
85,B,100,98,23,100,87
85,C,99,0,3,99,54
85,D,100,30,13,95,65
86,A,73,84,0,86,67
86,B,100,100,27,90,87
86,C,100,6,4,100,57
86,D,100,36,12,96,67
87,A,74,90,6,87,70
87,B,100,100,27,91,87
87,C,100,12,5,100,59
87,D,100,42,16,97,69
88,A,75,61,11,88,63
88,B,100,100,21,92,86
88,C,100,18,13,100,62
88,D,100,48,20,98,72
89,A,76,67,11,89,65
89,B,100,100,25,93,87
89,C,100,0,17,100,57
89,D,100,54,19,99,73
90,A,77,73,18,90,68
90,B,100,100,26,94,88
90,C,100,6,8,100,58
90,D,100,25,22,100,65
91,A,78,79,11,91,70
91,B,85,71,21,95,72
91,C,100,12,0,100,58
91,D,100,0,26,100,58
92,A,79,85,15,92,73
92,B,86,77,18,96,74
92,C,100,18,2,100,60
92,D,100,6,25,100,60
93,A,80,91,22,93,76
93,B,87,83,25,97,78
93,C,100,24,4,100,62
93,D,100,12,31,100,63
94,A,81,62,16,94,67
94,B,88,54,22,98,69
94,C,100,30,0,100,64
94,D,100,18,32,100,65
95,A,82,68,13,95,69
95,B,89,60,18,99,71
95,C,100,36,0,100,65
95,D,100,0,39,100,60
96,A,83,74,17,96,72
96,B,90,66,17,100,73
96,C,100,42,1,100,67
96,D,100,0,32,100,59
97,A,84,80,17,97,74
97,B,91,37,7,100,63
97,C,100,48,4,90,68
97,D,100,6,36,100,62
98,A,85,51,11,98,65
98,B,92,43,8,100,65
98,C,100,54,5,91,70
98,D,100,12,31,100,63
99,A,86,57,12,99,68
99,B,93,49,6,100,67
99,C,100,60,1,92,71
99,D,100,0,34,100,60
100,A,87,28,11,100,59
100,B,94,55,12,100,70
100,C,100,31,0,93,63
100,D,100,6,24,100,60
101,A,88,34,8,100,61
101,B,79,61,13,100,66
101,C,100,37,5,94,65
101,D,100,12,24,100,62
102,A,89,40,7,100,63
102,B,80,67,13,100,69
102,C,100,43,9,95,68
102,D,100,18,26,100,64
103,A,90,46,12,100,66
103,B,81,73,9,100,70
103,C,100,49,13,96,71
103,D,100,24,20,100,65
104,A,91,17,15,100,58
104,B,82,79,1,100,71
104,C,100,20,16,97,62
104,D,100,30,20,100,67
105,A,92,23,13,100,60
105,B,83,85,0,90,72
105,C,100,26,21,98,65
105,D,100,36,22,100,69
106,A,93,29,11,100,62
106,B,84,91,1,91,74
106,C,100,32,24,99,68
106,D,100,42,18,100,70
107,A,94,35,14,100,65
107,B,85,97,0,92,76
107,C,100,38,21,100,69
107,D,100,48,20,100,72
108,A,95,41,18,90,66
108,B,86,100,2,82,77
108,C,100,44,19,100,71
108,D,100,19,22,100,64
109,A,96,12,23,91,59
109,B,87,100,1,83,77
109,C,100,50,17,100,72
109,D,100,25,20,100,65
110,A,97,18,17,92,60
110,B,88,71,0,84,69
110,C,100,56,17,100,74
110,D,85,0,13,100,50
111,A,98,24,22,93,63
111,B,89,42,0,85,60
111,C,100,27,17,100,65
111,D,86,6,13,100,53
112,A,99,0,22,94,57
112,B,90,48,0,86,63
112,C,100,33,18,100,67
112,D,87,12,16,100,55
113,A,100,6,17,95,58
113,B,91,54,0,87,65
113,C,100,39,21,100,69
