round,validator,crypto,behavior,latency,sensor,effective
1,A,100,0,2,100,55
1,B,98,0,8,100,55
1,C,100,96,34,95,88
1,D,83,6,9,100,51
2,A,100,6,0,100,56
2,B,99,0,4,100,55
2,C,85,100,30,96,82
2,D,84,0,16,100,51
3,A,100,12,0,90,57
3,B,100,6,3,100,57
3,C,86,100,27,97,83
3,D,85,6,11,100,52
4,A,100,0,0,91,53
4,B,100,0,3,100,55
4,C,87,100,29,98,83
4,D,86,12,10,100,54
5,A,100,0,0,92,53
5,B,100,6,5,100,57
5,C,88,100,20,99,83
5,D,87,18,10,100,56
6,A,100,6,0,93,55
6,B,100,12,6,100,59
6,C,89,100,28,100,84
6,D,88,24,15,100,59
7,A,100,12,0,94,57
7,B,100,0,3,100,55
7,C,90,100,20,100,84
7,D,89,30,11,100,61
8,A,100,0,1,95,54
8,B,100,0,3,100,55
8,C,91,100,12,100,83
8,D,90,36,12,100,63
9,A,100,0,0,96,54
9,B,100,0,3,100,55
9,C,92,71,11,100,74
9,D,91,42,8,100,65
10,A,100,0,4,97,55
10,B,100,6,0,100,56
10,C,93,77,7,100,76
10,D,92,48,12,100,68
11,A,100,0,7,98,55
11,B,100,0,0,100,55
11,C,94,48,7,100,68
11,D,93,54,17,100,70
12,A,100,0,8,99,56
12,B,100,0,0,100,55
12,C,95,19,7,100,59
12,D,94,60,14,100,72
13,A,100,6,0,100,56
13,B,100,6,0,100,56
13,C,96,0,9,100,54
13,D,95,66,14,100,74
14,A,100,12,6,100,59
14,B,100,12,4,100,59
14,C,97,6,6,100,56
14,D,96,72,14,100,77
15,A,100,18,0,100,60
15,B,100,18,5,90,59
15,C,98,12,10,100,59
15,D,97,78,16,100,79
16,A,100,0,1,100,55
16,B,100,0,3,91,54
16,C,99,18,11,100,61
16,D,98,49,19,100,71
17,A,100,6,0,100,56
17,B,100,6,6,92,56
17,C,100,24,3,100,62
17,D,99,20,17,100,63
18,A,100,12,0,100,58
18,B,100,12,10,93,59
18,C,100,30,3,100,64
18,D,100,0,20,100,58
19,A,100,18,3,100,60
19,B,100,18,12,94,61
19,C,100,1,0,100,55
19,D,100,6,19,100,59
20,A,100,24,0,100,62
20,B,100,0,12,95,56
20,C,100,7,3,100,57
20,D,100,12,18,100,61
21,A,100,30,2,100,64
21,B,100,0,16,96,56
