round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
1,224,143,26,224,60,C,fail
2,212,135,29,119,119,C,fail
3,232,148,27,232,122,C,fail
4,239,141,52,239,183,C,success
5,226,131,57,129,129,C,fail
6,223,129,60,134,134,C,success
7,238,138,57,193,138,C,success
8,221,139,33,129,73,C,fail
9,245,156,30,245,190,C,success
10,253,136,77,253,197,C,success
11,241,130,80,193,193,C,success
12,242,130,77,242,187,D,success
13,239,129,80,193,193,C,success
14,242,130,77,242,187,D,success
15,235,138,55,185,130,D,fail
16,236,136,56,190,190,D,success
17,242,142,55,194,194,D,success
18,230,124,77,179,179,D,success
19,240,129,77,240,187,D,success
20,236,139,53,236,181,B,success
21,235,150,28,235,235,B,success
22,247,123,100,247,247,B,success
23,243,131,79,192,192,B,success
24,243,131,77,243,189,C,success
25,239,141,54,186,186,C,success
26,233,137,55,187,187,C,success
27,249,134,77,249,249,C,success
28,245,132,80,198,198,C,success
29,262,141,78,262,262,C,success
30,259,152,55,259,259,C,success
31,244,141,56,195,195,D,success
32,256,138,78,256,201,D,success
33,242,130,76,242,242,D,success
34,228,134,55,180,126,D,fail
35,215,124,60,131,131,D,success
36,224,129,60,135,135,D,success
37,231,133,60,140,140,D,success
38,249,144,58,200,145,D,success
39,250,145,59,205,149,D,success
40,248,141,62,212,212,D,success
41,234,135,57,194,194,D,success
42,223,129,58,130,130,D,success
43,233,135,59,139,139,D,success
44,241,139,59,143,143,D,success
45,232,134,60,141,141,D,success
46,230,131,63,199,145,D,success
47,227,129,61,195,139,C,success
48,235,136,60,143,143,C,success
49,231,145,32,135,135,C,fail
50,229,132,56,183,129,C,fail
51,236,136,56,188,133,C,fail
52,212,125,55,118,118,B,fail
53,214,136,29,117,64,C,fail
54,213,134,31,122,67,C,fail
55,209,131,32,119,68,C,fail
56,229,144,31,179,71,C,fail
57,217,138,29,121,121,C,fail
58,227,133,55,180,127,C,fail
59,216,125,56,121,121,B,fail
60,209,131,32,120,67,C,fail
61,220,138,31,127,127,C,fail
62,229,132,57,131,131,C,fail
63,217,125,57,179,124,C,fail
64,220,140,30,125,125,C,fail
65,218,137,31,125,125,C,fail
66,227,131,56,128,128,C,fail
67,218,128,55,121,121,B,fail
68,219,140,29,173,65,C,fail
69,210,132,31,67,67,C,fail
70,191,122,30,58,58,C,fail
71,203,127,32,119,65,C,fail
72,196,125,28,111,111,D,fail
73,209,123,53,170,170,B,success
74,206,109,85,176,176,B,success
75,180,90,100,180,180,B,success
76,217,125,58,183,183,C,success
77,218,126,57,180,125,C,fail
78,216,127,54,176,176,B,success
79,217,125,57,124,124,C,fail
80,220,118,79,175,175,D,success
81,234,138,54,234,185,C,success
82,244,122,100,244,244,C,success
83,252,126,100,252,252,C,success
84,239,129,77,239,186,D,success
85,234,138,53,234,181,C,success
86,242,142,53,242,242,C,success
87,241,130,80,193,193,C,success
88,250,135,79,250,198,C,success
89,258,139,79,258,258,C,success
90,233,137,52,180,180,C,success
91,224,129,58,132,132,C,success
92,222,128,56,178,125,C,fail
93,209,131,31,118,66,C,fail
94,234,149,29,234,180,C,success
95,241,130,76,241,241,C,success
96,230,133,56,182,131,C,fail
97,242,130,79,192,192,C,success
98,221,128,57,180,127,C,fail
99,231,133,56,187,187,C,success
100,230,133,56,184,184,C,success
101,229,144,31,130,130,C,fail
102,246,145,55,246,194,C,success
103,231,133,56,183,130,C,fail
104,227,143,31,181,181,C,success
105,236,139,55,189,189,C,success
106,246,132,80,197,197,C,success
107,239,138,58,239,139,C,success
108,252,136,78,252,198,C,success
109,247,133,77,247,247,C,success
110,238,128,78,238,187,C,success
111,240,139,57,240,187,C,success
112,246,130,82,203,203,C,success
113,244,129,81,198,198,C,success
114,242,130,80,194,194,C,success
115,234,135,60,194,141,C,success
116,245,142,59,201,201,C,success
117,253,146,58,206,206,C,success
118,263,142,80,213,213,C,success
119,255,145,61,158,158,C,success
120,255,145,63,218,162,C,success
121,244,141,59,204,204,C,success
122,240,124,87,209,209,C,success
123,253,134,83,212,212,C,success
124,263,139,83,220,220,C,success
125,257,149,60,212,212,C,success
126,244,141,60,147,147,C,success
127,258,139,80,208,208,C,success
128,265,143,80,265,212,C,success
129,269,145,79,269,269,C,success
130,265,140,82,218,218,C,success
131,255,147,59,206,206,C,success
132,253,136,79,202,202,C,success
133,246,142,58,198,145,C,success
134,257,149,56,257,257,C,success
135,266,133,100,266,266,C,success
136,262,131,100,262,262,B,success
137,253,136,79,253,201,B,success
138,253,146,57,253,253,B,success
139,262,141,78,262,262,B,success
140,269,134,100,269,269,B,success
141,263,142,79,263,263,B,success
142,245,132,79,245,245,B,success
143,262,131,100,262,262,B,success
144,259,139,79,259,259,C,success
145,252,126,100,252,252,A,success
146,239,129,79,239,189,A,success
147,244,131,77,244,244,A,success
148,247,133,79,197,197,A,success
149,241,130,80,193,193,A,success
150,231,136,53,231,231,C,success
151,242,133,75,242,242,C,success
152,239,129,79,239,191,C,success
153,256,128,100,256,256,C,success
154,243,131,79,243,243,C,success
155,239,129,79,239,191,A,success
156,256,128,100,256,256,A,success
157,257,128,100,257,257,A,success
158,243,121,100,243,243,A,success
159,243,131,79,243,193,A,success
160,230,126,75,230,173,D,success
161,229,123,79,181,181,D,success
162,218,128,51,165,165,B,success
163,236,127,76,181,181,B,success
164,231,127,75,231,174,B,success
165,234,138,54,234,234,B,success
166,237,127,80,237,237,B,success
167,226,133,53,226,226,A,success
168,243,121,100,243,243,A,success
169,225,121,79,225,178,A,success
170,236,129,75,236,236,D,success
171,243,121,100,243,243,D,success
172,240,144,50,240,240,C,success
173,235,129,75,235,235,A,success
174,248,124,100,248,248,A,success
175,256,128,100,256,256,A,success
176,244,131,77,244,189,A,success
177,246,130,81,200,200,A,success
178,260,140,79,260,206,A,success
179,256,138,78,256,201,A,success
180,261,140,77,261,261,B,success
181,270,145,77,270,270,B,success
182,266,133,100,266,266,A,success
183,259,139,79,259,205,A,success
184,265,143,78,265,209,A,success
185,241,130,80,194,194,A,success
186,246,142,56,246,246,A,success
187,242,142,53,242,242,A,success
188,241,120,100,241,241,A,success
189,255,127,100,255,255,A,success
190,252,126,100,252,252,C,success
191,250,135,77,250,250,C,success
192,236,127,80,189,189,D,success
193,257,138,78,257,257,D,success
194,242,130,76,242,242,B,success
195,245,132,80,197,197,B,success
196,237,137,58,192,139,B,success
197,244,143,54,244,189,B,success
198,246,145,53,246,246,B,success
199,260,140,77,260,260,B,success
200,257,149,56,205,205,B,success
