round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
1,259,139,79,207,207,A,success
2,258,136,82,212,212,A,success
3,259,139,78,259,204,A,success
4,265,143,78,265,209,A,success
5,273,147,78,273,273,A,success
6,279,139,100,279,279,A,success
7,275,145,81,224,224,A,success
8,273,147,80,219,219,D,success
9,278,150,79,278,222,D,success
10,276,149,78,276,276,B,success
11,287,143,100,287,287,A,success
12,272,136,100,272,272,B,success
13,258,129,100,258,258,A,success
14,267,133,100,267,267,A,success
15,280,140,100,280,280,A,success
16,277,149,79,277,277,A,success
17,274,137,100,274,274,B,success
18,262,141,80,210,210,A,success
19,269,145,79,269,214,D,success
20,265,143,78,265,265,A,success
21,266,143,77,266,266,B,success
22,258,139,79,258,204,B,success
23,251,135,77,251,251,A,success
24,252,136,80,204,204,A,success
25,249,131,83,209,209,A,success
26,234,126,78,184,184,A,success
27,237,127,78,185,185,B,success
28,221,119,79,176,176,A,success
29,201,116,57,116,116,A,success
30,210,123,55,167,167,A,success
31,237,127,77,237,237,A,success
32,224,132,55,181,181,B,success
33,228,120,82,189,189,B,success
34,236,136,56,236,185,B,success
35,234,126,76,234,234,A,success
36,232,127,75,232,232,A,success
37,242,121,100,242,242,A,success
38,238,128,79,238,190,A,success
39,224,132,53,224,171,A,success
40,226,131,56,183,128,A,fail
41,241,142,54,241,241,A,success
42,236,136,57,188,188,A,success
43,239,138,58,195,195,A,success
44,244,131,77,244,189,A,success
45,243,140,56,243,187,A,success
46,260,140,77,260,260,A,success
47,256,138,76,256,256,A,success
48,265,132,100,265,265,A,success
49,253,126,100,253,253,A,success
50,256,138,78,256,201,A,success
51,255,137,77,255,198,A,success
52,260,140,77,260,260,A,success
53,258,139,80,207,207,A,success
54,249,134,77,249,249,A,success
55,246,132,80,199,199,A,success
56,260,140,78,260,260,A,success
57,255,137,80,255,255,A,success
58,262,131,100,262,262,A,success
59,257,128,100,257,257,B,success
60,243,140,56,243,196,B,success
61,255,137,78,255,255,B,success
62,263,131,100,263,263,B,success
63,236,139,52,236,182,B,success
64,245,132,77,245,245,B,success
65,231,136,53,231,180,C,success
66,230,147,27,230,178,C,success
67,242,121,100,242,242,C,success
68,249,124,100,249,249,C,success
69,246,132,79,246,195,C,success
70,259,129,100,259,259,C,success
71,244,131,80,196,196,B,success
72,249,134,78,249,195,C,success
73,259,139,78,259,259,C,success
74,270,145,78,270,270,C,success
75,279,139,100,279,279,C,success
76,253,136,79,253,200,C,success
77,260,140,78,260,260,C,success
78,256,128,100,256,256,C,success
79,262,131,100,262,262,C,success
80,260,140,80,209,209,B,success
81,264,142,78,264,264,B,success
82,273,136,100,273,273,C,success
83,260,137,81,211,211,B,success
84,250,132,81,204,204,C,success
85,260,140,78,260,260,B,success
86,238,128,80,191,191,D,success
87,242,130,77,242,187,B,success
88,226,131,56,180,180,B,success
89,227,131,58,183,183,B,success
90,241,130,76,241,241,B,success
91,229,132,56,182,182,B,success
92,226,133,53,226,121,B,fail
93,209,137,0,110,54,A,fail
94,227,122,78,178,178,B,success
95,236,118,100,236,236,A,success
96,233,125,79,186,186,B,success
97,235,117,100,235,235,A,success
98,236,127,77,236,184,A,success
99,226,133,54,180,180,B,success
100,231,136,54,184,184,B,success
101,224,132,53,178,178,B,success
102,232,139,49,232,232,A,success
103,243,121,100,243,243,A,success
104,240,129,77,240,185,C,success
105,236,127,80,189,189,B,success
106,249,134,78,195,195,C,success
107,246,130,81,200,200,C,success
108,250,132,82,206,206,C,success
109,243,128,82,200,200,C,success
110,251,135,78,198,198,C,success
111,258,139,78,258,202,C,success
112,256,135,81,209,209,C,success
113,245,142,56,191,138,D,fail
114,253,149,55,253,197,D,success
115,234,133,61,144,144,D,success
116,252,146,58,147,147,D,success
117,261,151,58,261,152,D,success
118,245,139,63,155,155,D,success
119,251,145,58,147,147,C,success
120,260,150,57,205,205,C,success
121,255,150,55,255,198,C,success
122,252,146,57,205,205,C,success
123,264,142,79,264,210,C,success
124,255,135,81,209,209,D,success
125,261,138,81,213,213,D,success
126,266,140,81,217,217,D,success
127,263,139,84,223,223,C,success
128,264,139,81,216,216,D,success
129,260,137,85,221,221,D,success
130,254,134,84,215,215,D,success
131,270,143,81,221,221,A,success
132,254,147,58,203,203,A,success
133,253,136,79,200,200,D,success
134,252,136,77,252,252,A,success
135,257,138,77,257,257,A,success
136,263,131,100,263,263,A,success
137,270,135,100,270,270,A,success
138,264,132,100,264,264,A,success
139,270,135,100,270,270,A,success
140,276,138,100,276,276,A,success
141,282,141,100,282,282,A,success
142,280,140,100,280,280,D,success
143,277,138,100,277,277,B,success
144,262,141,78,262,262,A,success
145,271,135,100,271,271,A,success
146,272,136,100,272,272,A,success
147,271,135,100,271,271,B,success
148,259,139,78,259,259,B,success
149,266,133,100,266,266,B,success
150,275,137,100,275,275,B,success
151,260,140,80,260,208,C,success
152,268,144,79,268,268,C,success
153,281,151,80,281,281,B,success
154,264,139,82,217,217,C,success
155,276,146,84,232,232,B,success
156,281,151,80,281,281,C,success
157,288,144,100,288,288,C,success
158,274,137,100,274,274,B,success
159,270,135,100,270,270,C,success
160,270,135,100,270,270,C,success
161,256,138,76,256,256,C,success
162,251,148,53,251,251,C,success
163,233,149,30,180,124,C,fail
164,231,136,55,183,128,C,fail
165,227,133,51,173,116,A,fail
166,214,136,28,169,119,A,fail
167,219,127,56,124,124,A,fail
168,229,146,28,120,120,A,fail
169,235,150,28,181,124,A,fail
170,220,127,57,127,127,A,success
171,238,140,55,131,131,A,fail
172,227,133,55,183,183,A,success
173,230,133,56,187,187,A,success
174,247,133,78,194,194,A,success
175,234,135,58,137,137,A,success
176,251,145,56,197,142,A,fail
177,259,150,56,259,203,A,success
178,259,150,58,210,210,A,success
179,257,138,78,257,202,A,success
180,250,145,58,205,205,A,success
181,255,147,58,149,149,A,success
182,262,151,58,208,152,A,success
183,240,139,56,194,194,A,success
184,242,142,52,188,188,A,success
185,229,132,58,134,134,A,success
186,251,135,77,251,251,A,success
187,254,137,77,254,254,A,success
188,238,138,58,139,139,A,success
189,258,139,78,258,258,A,success
190,255,135,81,208,208,A,success
191,271,146,79,271,271,A,success
192,271,135,100,271,271,B,success
193,255,137,80,206,206,B,success
194,269,145,79,269,269,B,success
195,275,137,100,275,275,B,success
196,260,140,79,260,260,A,success
197,265,132,100,265,265,B,success
198,272,136,100,272,272,B,success
199,270,145,80,270,270,B,success
200,267,133,100,267,267,A,success
