GENESIS|1770366953|system|init|0|GENESIS|GENESIS
GENESIS|1770366959|agent_A|observation|freq=49.9|b04fcdb6214a95536cfc8a72447a994a1f89365d741934e78c09b5ff457e801a|VeU2niXoZx5FNdcV/Ho0tyFluefkAeVHVYv0iRLARXPEI6Zxb82smR8vhQXr8hAFEYszmheJwOl6O5KMvhhal2DmaPDPPP+X4v7xgqbdKPP7EnZXtwQFBLApVo33u9IlN/PU62iJhnZiw92ZzifADnjm++fx1BKc9OIfPVzvsj+y1UI/zSr3YGRRdt0DPQLc76o5JU0byqYI3qkXvIuMCdj0H6ZpHDXOAFontnwxnTiTqA/XjYJ3z9maxi9dp/Q2nWvuzPkSYPCOvGKF3yPPYtvM9CTgvkUxQabnm86QgmB81AaqKvk7d8t6Avu36S7JsCBEmKVP0RzQ9d978NRW6w==
b04fcdb6214a95536cfc8a72447a994a1f89365d741934e78c09b5ff457e801a|1770366965|agent_A|observation|freq=49.9|0da8180825d7a64e648defa4eaf6d21f5454f88086aa87b9ad4e6203ef937071|o1JsgonG0ZZmbYArKRbiYydi5CwNgzk3EpD37vaRAbb/wdi6MFSeHUwXAHgT8JFjjXwTcYeU0OoIMpztNHpGt2nZc26zBsGoV6qkRX69HQSs1VgJf+DDW03BghRJsdE89yqxeYeo5wXLzivAbSkpsRCIrmwsGqhHL+WufYA5JFtcijaZno8peDQ/Pr0t6rbbueuSPwiyx4tjHZZOv0dltlmm+A8LkLbB3GqKs7qldqI1L46n84k0Hj0o4pUKOI5lusO2d4cLToP5p5m+utXni+VsTjE4hHRp8UVWfBVahgNy5Z8nGJhOpEMe4PvK0vbKBaNnchNClR/JJemSyCpc6Q==
0da8180825d7a64e648defa4eaf6d21f5454f88086aa87b9ad4e6203ef937071|1770367063|agent_A|proposal|no_action|a983dc749257ef13ca6583bc616acb02d1c66cb92e54bd986e98b579791cb246|O5xhjCP+TEMA9b5dfESBioHkX2MYEnOOltGIcUgZTUauSlMS8zKeG7j1FQbK3xaoQRs08hJWIMMY4RbJrp4Q9di2z/Nk/PHOgHE0sNmHbrA6iyGsHxwu62tq3ERI+Ar95Fng7MMDcIQOmTAI2xrE6Sa4O4dfulSGFalulUYLpiGvdDQfg/JU7zmZuMZD48aF+ler+A1dSj9bYDaxNQruD1bH9/FKDxZyNohBJJ0Lk2o8LqLXdJGP9MJi1zyqnJN51omm7Unm49XS0Z+3nKj+pzcDAHrI7eHzBUsGj+I8KEKDHXPb9yEiCvvZYiZN5DYdJqDdyXcNWws/40OZ283zfw==
a983dc749257ef13ca6583bc616acb02d1c66cb92e54bd986e98b579791cb246|1770367063|agent_B|proposal|isolate_bus|745668ed1b1774516598f728e5487b03dfc33e19ea9758f36093f510f12ba67b|EIdZzY+RDENQpwxM+U+lFpCuacoUvjdHYxVcGKzzjd7VYCOzVV9vOqy3e9IbIdGW57dnVPRZIREt+yp69E5/51idT8cXmUtNKBUSlhCElK5L4JtqAFd9oOuxCGF5thXfEDvdLHkATfJXJCXuFnj5050VxRB63BDQiB73Hi7NfxLFIE/GrEjpZuqhBjPNNndhG1H9mDoghM7fSvSc3m9DybSjRZJyQEUZALZXsM2T1RVdTe6mEHY1/RPcn0HvB9Td7/HYfVeT3Y3E3x4YnHs8XjSkjK0WnnhSYODThjiCi6F3Z0PziTpg7O5wJLnM3rz81pS4bpVxCQgrqYjmGhtA8A==
745668ed1b1774516598f728e5487b03dfc33e19ea9758f36093f510f12ba67b|1770367063|agent_C|proposal|isolate_bus|067d3463b016efc9543070e4ca68a7522c171665c3e4ecf43f73dd520e6971d6|NJ7QbmRdOK4ZVFuRsXhEzvgNsa8j2JKdcfx4NXrQi6JbgOKomnGcH1K4kpPDhkYDGIZ+3YyxjQAb3Cvuav4zC6odLBpNyGj2VwqQ1s3gzPPFuimZjlXqF3+AFta09bByAWU4XDrJbXaiND97Orowgz4++CHyVw1/cdhF4ovXbgQsP0v9Ffm1UN/HJefqPRlOF4PL/l+ptd6x4x4fvFw+I5zo8ZZvnaONSpgnRjdQORKLWTYuRgF69TzK0wmwbR3Pb1AUY3iwqsTCu1mjpg/4ieYrqGmS4JKeTzYDrG+PpRRPN1/iXyRBuhnAq7iK40JU0IDJjMrc+O+9RaaEGbsSiQ==
067d3463b016efc9543070e4ca68a7522c171665c3e4ecf43f73dd520e6971d6|1770367130|agent_A|proposal|no_action|48f61aad90b1dc1007a70e4b7a320bb3fd6e676d8f85b1eae58c942a137bf55a|Vj4mCxgr4kfPyLGMX/FNVYM+hqVkid0HUKD2DX2nQgdzuikv31l+qdw9EoXDAcOWQAy2APaM1d0Y+cAbCHeV+uyOayAkHcjPaOfwf9/Ypc+IgjTG6c9lf0CHUs55pXaFtmRrxYnwg+7HGH+w/Ye+cvRoWwWBsUfdWH4Z4EcWV0nQAZe2dXo9Z8FVSxdVGMYi2XEvoYG9p1s19SVU6wh0PDIGlx+okbOuAM4SIPc7v2NOdRo41UvHaxiGDPO1rs/eqUr2Wng6oK5z9Pmh8yyZMhhhbR7gpzushJ8hyKYuiBAehaS8AntWma7qXd3braY0QJpJv7uYs9bJVX0vtheBdA==
48f61aad90b1dc1007a70e4b7a320bb3fd6e676d8f85b1eae58c942a137bf55a|1770367130|agent_B|proposal|isolate_bus|b6542cff17d817383886dbc86b1585930b967d3faf0e594f7942fe7f4e73dac0|X8aWvAxT5+GiybT/0bxxjND+h/LvUy/CxHUDuEI3+qdXrbIg3ivCb1TiMzcc4PT7HcaRTVhEz1IXNgEvomzx7Vw3R2zIJro7cb+H4jRh6grxU159CcrijyYK5rPDfb/HpM8AfUO6hhgkj6oL5AIsto1M9zmb21QFqR4SxSQy3NtCjrsFjo2R5qQ6UsQyHEb2Wv4yVHHHzcOwF3U6z9l3apnxcbNPUIKuD7z23vkW/OZIVNJ1OTFlGjaSGy/GsdK7T7N4UPeThGoHcjeWYJzcR5SP9vvAXuO6SNwHUX1icZnTxIRN6ixQXshNCU2rUIuvyJ5DCcelKnuuHQHduhuPkg==
b6542cff17d817383886dbc86b1585930b967d3faf0e594f7942fe7f4e73dac0|1770367130|agent_C|proposal|isolate_bus|cdc8fb8e92ae4e6bb31a1f4819462b482bf4f21195f1a75d6cbf93efafd11b87|yaUKnE+rE9dEo2Grolzgs1EuSo/QGZVnYlIfA0vi5QTSSJhBplwFduXZX9v2bW781sFJitUvL8+10bTPOaAHF9qSzylaGzH/NErTk0ySmyPJmLVoQFyrmh0Syd/+iJkph8dAnO5nspBGYfUoawoUvWBuHzwPJ0/iyR7VBNEENb0mE7zyZH3jK8UR0zuvUbcnEQZyAFl46T4rtUcb0CvZwC6BzFpLKChiAU8r/ADAv0Xt3aCbpQ6Cca7b754zlg89W1yer+Gwhdewch/JQnWinZR+Juh3bxhJQ/HCcI71TShcay2VBL9TclhdOe7DpSEeytDQNoGFRlUWK6AlLiYzew==
cdc8fb8e92ae4e6bb31a1f4819462b482bf4f21195f1a75d6cbf93efafd11b87|1770367203|agent_A|proposal|no_action|8b353e2da0b07aa9dddac29819480b238ac44126ed1f42fa18ffff9043eeabc6|OcDoxWuR6taky6reA8tQuVmkGwuxLUEjHK9H0solvwIGOu9hVm2DE4BGDWSYQbL5x9MAuXOLMa2LCCJw1CLdS0XzhXU0baQnUdcp1qLdBzSCO3CwQEymFv2JrMtUurdKU7p4NNwp+fZnFjSeAcl+aDjSqqEA3y63LLxoezQytlgIZuJrag7DyoyMhyQFWt9WIsHLL0+ig0ZtWpex3Qk9X0fUOKFSgGLQP+C/qLyisqyajRKYbew0Md11YVHgzaReOd1DeeYe7M51IPxNHhHIrEfi5Biz3cuQ5knrgG2Gl2qlDgcAI4k++uhFIl0bSB1bQyjI55fET0OrOGK3i3k61w==
8b353e2da0b07aa9dddac29819480b238ac44126ed1f42fa18ffff9043eeabc6|1770367203|agent_B|proposal|isolate_bus|ac27bb1ac09be9da6102e1eda4667110e0ef185fb5ab32d42860074cd98447d1|T7LTYOTtsO99JaI+eli6zWTTJZOSe7mDKTisCh7hvAijvqL+2SYgpZUSEEXo5ykkFHWtNK1GiwpvEnqmjIrqlrN04//t1mBrZIJZj0htrXd4O23xAI+gyB0hN9IEq1GJisWkkJ6xygvVttXkVxCX5Wnzn0xNDRFyKOh0DMdkCwyiz34vcDtpySxOE2gYNu3e6+ePWhOEE52/MOG3rwFy/a6qz5+SImvmMGZOpk2DqGkIQhxunYwM5S0GuDWxrT8QpeGtzr8LkZAWNAbyyevqYkUGpXHrJOeIiY3WNCgeaTfWeJX7O7YBC/t1Y1gwks3pbTiDSLYnRNN+QvTaVeahrg==
